identifier,actIdentifier,issued,customerName,orderIdentifier,orderDate,orderContractorLegalName,orderContractorIdentifier,addressCountry,addressRegion,addressLocality,streetAddress,locationDescription,latitude,longitude,itemSpecies,itemQuantityPlan,itemQuantityFact,itemQuantityLeft,reportIdentifier,reportDate,status
00-012,00-0012,2019,Дрогобицька міська рада,,,Відділ Культури,2229238,Україна,Львівська область,Дрогобич,вул. Шевченка. 38,"Музей ""Дрогобичина""",49.35434,23.49873,магнолія,1,1,0,2019,2019,Замовлення виконано підрядником
00-013,00-0013,2019,Дрогобицька міська рада,,,Відділ Культури,2229238,Україна,Львівська область,Дрогобич,вул. Шевченка. 38,"Музей ""Дрогобичина""",49.35446,23.49882,магнолія,1,1,0,2019,2019,Замовлення виконано підрядником
00-014,00-0014,2019,Дрогобицька міська рада,,,Відділ Культури,2229238,Україна,Львівська область,Дрогобич,вул. Шевченка. 38,"Музей ""Дрогобичина""",49.35429,23.49872,магнолія,1,1,0,2019,2019,Замовлення виконано підрядником
00-015,00-0015,2019,Дрогобицька міська рада,,,Відділ Культури,2229238,Україна,Львівська область,Дрогобич,вул. Івана Франка. 32,"Відділ Історі музею ""Дрогобичина""",49.35527,23.49983,магнолія,1,1,0,2019,2019,Замовлення виконано підрядником
00-016,00-0016,2019,Дрогобицька міська рада,,,Відділ Культури,2229238,Україна,Львівська область,Дрогобич,вул. Івана Франка. 32,"Відділ Історі музею ""Дрогобичина""",49.35535,23.49956,магнолія,1,1,0,2019,2019,Замовлення виконано підрядником
00-017,00-0017,2019,Дрогобицька міська рада,,,Відділ Культури,2229238,Україна,Львівська область,Дрогобич,вул. Солоний Ставок. 21,Територія Церкви Святого Юра,49.34784,23.49944,магнолія,1,1,0,2019,2019,Замовлення виконано підрядником
00-018,00-0018,2019,Дрогобицька міська рада,,,Відділ Культури,2229238,Україна,Львівська область,Дрогобич,вул. Солоний Ставок. 21,Територія Церкви Святого Юра,49.34786,23.49918,магнолія,1,1,0,2019,2019,Замовлення виконано підрядником
00-019,00-0019,2019,Дрогобицька міська рада,,,Відділ Культури,2229238,Україна,Львівська область,Дрогобич,вул. Шевченка. 27,Центральна бібліотека ім. В'ячеслава Чорновола,49.35324, 23.49957,Яблуня,1,1,0,2019,2019,Замовлення виконано підрядником
00-020,00-0020,2019,Дрогобицька міська рада,,,Відділ Культури,2229238,Україна,Львівська область,Дрогобич,вул. Шевченка. 27,Центральна бібліотека ім. В'ячеслава Чорновола,49.35317, 23.49954,Яблуня,1,1,0,2019,2019,Замовлення виконано підрядником
00-021,00-0021,2019,Дрогобицька міська рада,,,Відділ Культури,2229238,Україна,Львівська область,Дрогобич,вул. Шевченка. 27,Центральна бібліотека ім. В'ячеслава Чорновола,49.3531, 23.49952,Яблуня,1,1,0,2019,2019,Замовлення виконано підрядником
00-022,00-0022,2019,Дрогобицька міська рада,,,Відділ Культури,2229238,Україна,Львівська область,Дрогобич,вул. Шевченка. 27,Центральна бібліотека ім. В'ячеслава Чорновола,49.35317, 23.49992,Вишня,1,1,0,2019,2019,Замовлення виконано підрядником
00-023,00-0023,2019,Дрогобицька міська рада,,,Відділ Культури,2229238,Україна,Львівська область,Дрогобич,вул. Шевченка. 27,Центральна бібліотека ім. В'ячеслава Чорновола,49.35311, 23.49989,Вишня,1,1,0,2019,2019,Замовлення виконано підрядником
00-024,00-0024,2019,Дрогобицька міська рада,,,Відділ Культури,2229238,Україна,Львівська область,Дрогобич,вул. Шевченка. 27,Центральна бібліотека ім. В'ячеслава Чорновола,49.35305, 23.49984,Вишня,1,1,0,2019,2019,Замовлення виконано підрядником
